"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4482","US12 – Leaderboard: secção visível e href de 'See all' aponta para /en/t/","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.tests.store_settings_leaderboard.StoreSettingsLeaderboardTest","iscteiul.ista.blackbattleship.tests.store_settings_leaderboard.StoreSettingsLeaderboardTest","leaderboardAccessibleFromGamePage"
"","6047","US18 – Settings: botão visível, diálogo abre, idioma muda para English","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.tests.store_settings_leaderboard.StoreSettingsLeaderboardTest","iscteiul.ista.blackbattleship.tests.store_settings_leaderboard.StoreSettingsLeaderboardTest","settingsDialogOpensAndLanguageChanges"
"","5800","US22 – Shop: 'Presentes' abre merch.papergames.io em nova tab","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.tests.store_settings_leaderboard.StoreSettingsLeaderboardTest","iscteiul.ista.blackbattleship.tests.store_settings_leaderboard.StoreSettingsLeaderboardTest","presentesOpensGoodieSiteInNewTab"
"","4411","US21 – App Store: badges visíveis e hrefs apontam para as lojas correctas","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.tests.store_settings_leaderboard.StoreSettingsLeaderboardTest","iscteiul.ista.blackbattleship.tests.store_settings_leaderboard.StoreSettingsLeaderboardTest","appStoreBadgesVisibleWithCorrectHrefs"
"","6394","US22 – Shop: navegação, categorias, compra e feedback de toast","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.tests.store_settings_leaderboard.StoreSettingsLeaderboardTest","iscteiul.ista.blackbattleship.tests.store_settings_leaderboard.StoreSettingsLeaderboardTest","shopNavigationAndPurchaseFlow"
