"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37086","verPrecoAPIs()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.tests.selenide.US26VerPrecoAPIsSelenideTest","iscteiul.ista.blackbattleship.tests.selenide.US26VerPrecoAPIsSelenideTest","verPrecoAPIs"
"","22240","desligarMusicaNasDefinicoes()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.tests.selenide.US24DesligarMusicaSelenideTest","iscteiul.ista.blackbattleship.tests.selenide.US24DesligarMusicaSelenideTest","desligarMusicaNasDefinicoes"
"","30249","desligarVibracaoNasDefinicoes()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.tests.selenide.US25DesligarVibracaoSelenideTest","iscteiul.ista.blackbattleship.tests.selenide.US25DesligarVibracaoSelenideTest","desligarVibracaoNasDefinicoes"
"","14414","desligarSomNasDefinicoes()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.tests.selenide.US23DesligarSomSelenideTest","iscteiul.ista.blackbattleship.tests.selenide.US23DesligarSomSelenideTest","desligarSomNasDefinicoes"
"","50332","dispararContraTabuleiroAdversario()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.tests.selenide.US05DispararTabuleiroSelenideTest","iscteiul.ista.blackbattleship.tests.selenide.US05DispararTabuleiroSelenideTest","dispararContraTabuleiroAdversario"
